name,popularity,danceability,energy,valence,tempo,team_member_id
"Khamoshiyan Gangunane Lagi, Pt. 1",32,0.651,0.345,0.308,90.986,mem_3
Mahi Ve,32,0.776,0.696,0.895,143.023,mem_3
We Will Rock You - Remastered,72,0.692,0.488,0.51,81.4,mem_3
Kamariya,62,0.825,0.666,0.763,96.987,mem_3
Stitches,75,0.746,0.754,0.764,149.882,mem_3
Ghungroo,75,0.695,0.727,0.864,118.034,mem_3
Speechless (Full),79,0.474,0.489,0.23,124.844,mem_4
Everytime,67,0.513,0.729,0.505,89.934,mem_4
Boku Ga Shinou To Omottanowa,36,0.546,0.567,0.384,167.769,mem_4
IDOL,77,0.734,0.855,0.422,126.035,mem_4
Talk Love,60,0.604,0.83,0.568,102.043,mem_4
Forever Young,70,0.6,0.96,0.503,109.863,mem_4
Oysters,25,0.419,0.0703,0.148,121.082,mem_4
Back To December,61,0.529,0.67,0.286,141.893,mem_4
Paradise Hotel,15,0.535,0.245,0.357,80.994,mem_4
Señorita,97,0.759,0.54,0.75,116.947,mem_4
Any Other World,37,0.506,0.252,0.288,131.918,mem_4
Euphoria,78,0.637,0.799,0.562,104.995,mem_4
Anpanman,71,0.813,0.875,0.756,99.004,mem_4
Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),61,0.365,0.273,0.238,132.285,mem_4
Uh-Oh,72,0.781,0.814,0.782,92.037,mem_4
Red,61,0.609,0.888,0.623,124.966,mem_4
See U Later,63,0.741,0.926,0.571,106.99,mem_4
My First Kiss,19,0.68,0.865,0.894,145.013,mem_4
The Sound,51,0.632,0.57,0.612,80.636,mem_4
Time of Our Lives,77,0.72,0.802,0.723,124.043,mem_4
SOLO,74,0.751,0.642,0.388,95.045,mem_4
Best Of Me,70,0.651,0.756,0.473,121.96,mem_4
You And I (Part.5),29,0.597,0.861,0.594,90.022,mem_4
BOOMBAYAH,64,0.748,0.873,0.506,124.951,mem_4
Always Remember Us This Way,77,0.553,0.502,0.296,129.976,mem_4
IDGAF,84,0.836,0.544,0.51,97.028,mem_4
Anytime,56,0.758,0.433,0.515,129.832,mem_4
Ichiban Kireina Watashiwo,20,0.449,0.515,0.338,170.104,mem_4
Right Words Wrong Time,49,0.822,0.628,0.836,114.97,mem_4
Airplane pt.2,69,0.769,0.817,0.866,139.979,mem_4
Feels Right,52,0.686,0.716,0.798,95.84,mem_4
Go Go,71,0.856,0.617,0.759,136.082,mem_4
No Drug Like Me,57,0.784,0.62,0.742,134.039,mem_4
IT WAS LOVE - Instrumental,14,0.507,0.465,0.233,174.024,mem_4
11°,33,0.52,0.232,0.298,81.253,mem_4
IT WAS LOVE,32,0.472,0.659,0.285,174.029,mem_4
Magic Shop,71,0.541,0.661,0.285,149.926,mem_4
11° Instrumental,7,0.616,0.152,0.284,80.986,mem_4
봐,18,0.516,0.78,0.34,172.172,mem_4
DNA (Pedal 2 LA Mix),57,0.488,0.955,0.48,129.972,mem_4
小半,57,0.555,0.4,0.374,164.952,mem_4
YES or YES,74,0.702,0.913,0.735,137.982,mem_4
all of my life,59,0.499,0.274,0.125,67.817,mem_4
FAKE LOVE (Rocking Vibe Mix),60,0.463,0.804,0.352,154.913,mem_4
Now That I Found You,61,0.63,0.759,0.597,124.24,mem_4
Hatred Farewell,33,0.68,0.356,0.443,107.444,mem_4
STAY,68,0.628,0.433,0.343,88.074,mem_4
Answer : Love Myself,71,0.569,0.793,0.45,108.048,mem_4
I'll Be Your Girl,50,0.671,0.659,0.742,152.016,mem_4
Colorful,20,0.565,0.918,0.686,172.03,mem_4
You And I (Inst) (Part.5),16,0.478,0.835,0.568,179.952,mem_4
Julien,60,0.754,0.506,0.587,118.99,mem_4
POP/STARS,77,0.566,0.769,0.385,170.036,mem_4
My First Kiss Instrumental,3,0.71,0.759,0.778,145.056,mem_4
Ours - Live/2011,41,0.421,0.355,0.267,77.769,mem_4
Automatically In Love,50,0.671,0.646,0.633,155.981,mem_4
Want You In My Room,59,0.669,0.812,0.328,96.917,mem_4
Everything He Needs,52,0.753,0.569,0.752,90.994,mem_4
Real Love,50,0.603,0.603,0.233,119.838,mem_4
MIC Drop,63,0.667,0.889,0.541,169.959,mem_4
MIC Drop (Steve Aoki Remix) [Full Length Edition],75,0.606,0.848,0.54,170.01,mem_4
For Sure,49,0.445,0.758,0.547,159.849,mem_4
Do you Know [From “DalKom Family Part 3”],19,0.682,0.664,0.467,86,mem_4
Too Much,64,0.733,0.522,0.729,179.837,mem_4
三月の陽炎,46,0.503,0.486,0.336,148.099,mem_4
Ainokatachi (feat. HIDE (GReeeeN)) - Instrumental,13,0.461,0.643,0.16,89.996,mem_4
Just The Way You Are,41,0.596,0.736,0.38,108.999,mem_4
a song is born,46,0.541,0.665,0.278,164.089,mem_4
HONEY,18,0.473,0.577,0.389,180.011,mem_4
Bye x Bye,17,0.624,0.652,0.478,92.012,mem_4
Harukaze,29,0.512,0.65,0.457,160.075,mem_4
愛唄,40,0.496,0.775,0.385,170.026,mem_4
Make Me Love You,52,0.274,0.736,0.191,193.468,mem_4
안녕 못해 I'm Not Okay (From “MISSING 9”),44,0.449,0.584,0.23,139.746,mem_4
5:09a.m.,24,0.512,0.56,0.34,143.901,mem_4
She's In The Rain,64,0.36,0.533,0.421,92.854,mem_4
everytime,73,0.71,0.614,0.658,148.152,mem_4
Let Me,73,0.46,0.566,0.19,168.419,mem_4
Home,35,0.6,0.606,0.601,80.027,mem_4
Rescue Me,49,0.57,0.704,0.358,140.049,mem_4
Bokurano Yume,23,0.496,0.759,0.623,174.071,mem_4
